target,malaria,target_renamed,malaria_renamed,T-cid,M-cid,T-lig,M-lig,T-gene,M-gene,pubchem_cid,smiles,blast_evalue,blast_alignment_length,blast_bit_score,blast_percent_identity,ligand_D,M_D_align_evalue,M_D_rmsd,M_D_align_len,3d_align_evalue,3d_rmsd,3d_align_len
3F4B,1NHG,3F4B_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,1.05e-133,230,379.0,78.696,,,,,,,
3F4B,1NHG,3F4B_renamed.pdb,1NHG_renamed.pdb,A,C,,,,,,,3.23e-31,60,111.0,85.0,,,,,,,
3FRF,3UM5,3FRF_renamed.pdb,3UM5_renamed.pdb,A,A,,,,,,,4e-12,123,62.8,34.959,,,,,,,
3FYV,3UM5,3FYV_renamed.pdb,3UM5_renamed.pdb,A,A,,,,,,,4e-12,123,62.8,34.959,,,,,,,
3FYW,3UM5,3FYW_renamed.pdb,3UM5_renamed.pdb,A,A,,,,,,,4e-12,123,62.8,34.959,,,,,,,
3GR6,3AM3,3GR6_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,3.44e-18,219,82.0,28.311,,,,,,,
3GR6,1UH5,3GR6_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,4.12e-18,219,82.0,29.224,,,,,,,
3GR6,1VRW,3GR6_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,4.22e-18,219,82.0,29.224,,,,,,,
3GR6,2OL4,3GR6_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,5.04e-18,219,82.0,29.224,,,,,,,
3GR6,3AM5,3GR6_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,1.62e-17,219,80.5,29.224,,,,,,,
3GR6,1NHG,3GR6_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,2.1e-13,124,67.4,36.29,,,,,,,
3KRR,1V0B,3KRR_renamed.pdb,1V0B_renamed.pdb,A,A,,,,,,,5.930000000000001e-21,202,90.1,32.178,,,,,,,
3KRR,1V0O,3KRR_renamed.pdb,1V0O_renamed.pdb,A,A,,,,,,,6.360000000000001e-21,202,90.1,32.178,,,,,,,
3KRR,1OB3,3KRR_renamed.pdb,1OB3_renamed.pdb,A,A,,,,,,,9.52e-21,200,89.4,32.0,,,,,,,
3KRR,4RGJ,3KRR_renamed.pdb,4RGJ_renamed.pdb,A,A,,,,,,,3.86e-15,224,75.1,32.143,,,,,,,
3MY0,4RGJ,3MY0_renamed.pdb,4RGJ_renamed.pdb,A,A,,,,,,,6.51e-12,219,65.5,26.027,,,,,,,
3MY0,5DYK,3MY0_renamed.pdb,5DYK_renamed.pdb,A,A,,,,,,,4.62e-06,253,47.8,25.296,,,,,,,
3NRC,3AM3,3NRC_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,4.7e-16,233,76.6,24.893,,,,,,,
3NRC,1UH5,3NRC_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,2.25e-15,233,74.7,25.322,,,,,,,
3NRC,1VRW,3NRC_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,3.55e-15,233,74.3,24.464,,,,,,,
3NRC,2OL4,3NRC_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,3.96e-15,233,73.9,24.464,,,,,,,
3NRC,3AM5,3NRC_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,1.66e-14,233,72.0,24.893,,,,,,,
3NRC,1NHG,3NRC_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,9.29e-13,141,65.9,31.206,,,,,,,
3OIF,3AM3,3OIF_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,6.860000000000001e-27,320,106.0,27.187,,,,,,,
3OIF,1UH5,3OIF_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,7.45e-27,320,106.0,27.5,,,,,,,
3OIF,2OL4,3OIF_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,9.79e-27,320,105.0,27.5,,,,,,,
3OIF,1VRW,3OIF_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,9.79e-27,320,105.0,27.5,,,,,,,
3OIF,3AM5,3OIF_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,3.5400000000000003e-26,320,104.0,27.5,,,,,,,
3OIF,1NHG,3OIF_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,7.64e-20,225,85.1,29.778,,,,,,,
3PJD,3AM3,3PJD_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,4.31e-20,237,87.8,26.16,,,,,,,
3PJD,1UH5,3PJD_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,1.9e-19,237,85.9,25.738,,,,,,,
3PJD,1VRW,3PJD_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,4.43e-19,237,85.1,24.473,,,,,,,
3PJD,2OL4,3PJD_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,5.08e-19,237,84.7,24.473,,,,,,,
3PJD,3AM5,3PJD_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,8.66e-19,237,84.0,25.738,,,,,,,
3PJD,1NHG,3PJD_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,2.25e-14,139,70.5,30.216,,,,,,,
3PJE,3AM3,3PJE_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,1.11e-19,237,86.7,25.738,,,,,,,
3PJE,1UH5,3PJE_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,4.55e-19,237,84.7,25.316,,,,,,,
3PJE,1VRW,3PJE_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,1.31e-18,237,83.6,24.051,,,,,,,
3PJE,2OL4,3PJE_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,1.58e-18,237,83.6,24.051,,,,,,,
3PJE,3AM5,3PJE_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,2.4e-18,237,82.8,25.316,,,,,,,
3PJE,1NHG,3PJE_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,6.18e-14,139,68.9,29.496,,,,,,,
3PJF,3AM3,3PJF_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,9.66e-20,237,86.7,25.738,,,,,,,
3PJF,1UH5,3PJF_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,4.83e-19,237,84.7,25.738,,,,,,,
3PJF,1VRW,3PJF_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,1.22e-18,237,84.0,24.051,,,,,,,
3PJF,2OL4,3PJF_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,1.48e-18,237,83.6,24.051,,,,,,,
3PJF,3AM5,3PJF_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,2.49e-18,237,82.8,25.738,,,,,,,
3PJF,1NHG,3PJF_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,5.94e-14,139,68.9,29.496,,,,,,,
3PRS,1LS5,3PRS_renamed.pdb,1LS5_renamed.pdb,A,A,,,,,,,4.93e-12,319,65.5,25.078,,,,,,,
3PRS,5JOD,3PRS_renamed.pdb,5JOD_renamed.pdb,A,A,,,,,,,7.65e-12,319,65.5,25.078,,,,,,,
3PRS,1LEE,3PRS_renamed.pdb,1LEE_renamed.pdb,A,A,,,,,,,9.52e-11,310,61.6,24.839,,,,,,,
3PRS,3F9Q,3PRS_renamed.pdb,3F9Q_renamed.pdb,A,A,,,,,,,9.6e-11,310,61.6,24.839,,,,,,,
3PRS,1LF3,3PRS_renamed.pdb,1LF3_renamed.pdb,A,A,,,,,,,1.01e-10,310,61.6,24.839,,,,,,,
3PRS,1ME6,3PRS_renamed.pdb,1ME6_renamed.pdb,A,A,,,,,,,1.2e-10,310,61.6,24.839,,,,,,,
3Q4U,4RGJ,3Q4U_renamed.pdb,4RGJ_renamed.pdb,A,A,,,,,,,3.82e-15,215,75.1,29.302,,,,,,,
3Q4U,1V0B,3Q4U_renamed.pdb,1V0B_renamed.pdb,A,A,,,,,,,3.7e-09,211,56.2,26.066,,,,,,,
3Q4U,1V0O,3Q4U_renamed.pdb,1V0O_renamed.pdb,A,A,,,,,,,3.73e-09,211,56.2,26.066,,,,,,,
3Q4U,1OB3,3Q4U_renamed.pdb,1OB3_renamed.pdb,A,A,,,,,,,5.46e-09,211,55.8,25.592,,,,,,,
3Q4U,2PML,3Q4U_renamed.pdb,2PML_renamed.pdb,A,X,,,,,,,1.71e-08,193,54.7,24.352,,,,,,,
3Q4U,5DYK,3Q4U_renamed.pdb,5DYK_renamed.pdb,A,A,,,,,,,2.28e-08,251,55.1,25.896,,,,,,,
3Q70,1LEE,3Q70_renamed.pdb,1LEE_renamed.pdb,A,A,,,,,,,9.16e-26,334,105.0,27.545,,,,,,,
3Q70,3F9Q,3Q70_renamed.pdb,3F9Q_renamed.pdb,A,A,,,,,,,1.17e-25,334,104.0,27.246,,,,,,,
3Q70,1ME6,3Q70_renamed.pdb,1ME6_renamed.pdb,A,A,,,,,,,1.51e-25,334,104.0,27.545,,,,,,,
3Q70,1LF3,3Q70_renamed.pdb,1LF3_renamed.pdb,A,A,,,,,,,1.71e-25,334,104.0,27.545,,,,,,,
3Q70,5BWY,3Q70_renamed.pdb,5BWY_renamed.pdb,A,A,,,,,,,3.6e-25,334,104.0,27.545,,,,,,,
3Q70,1PFZ,3Q70_renamed.pdb,1PFZ_renamed.pdb,A,A,,,,,,,4.75e-25,334,103.0,27.545,,,,,,,
3Q70,2BJU,3Q70_renamed.pdb,2BJU_renamed.pdb,A,A,,,,,,,1.05e-24,334,103.0,27.545,,,,,,,
3SOA,4RGJ,3SOA_renamed.pdb,4RGJ_renamed.pdb,A,A,,,,,,,3.99e-62,333,209.0,34.835,,,,,,,
3SOA,5DYK,3SOA_renamed.pdb,5DYK_renamed.pdb,A,A,,,,,,,1.89e-32,265,130.0,32.83,,,,,,,
3TI1,1V0O,3TI1_renamed.pdb,1V0O_renamed.pdb,A,A,,,,,,,4.13e-130,288,371.0,63.194,,,,,,,
3TI1,1V0B,3TI1_renamed.pdb,1V0B_renamed.pdb,A,A,,,,,,,4.3600000000000004e-130,288,371.0,63.194,,,,,,,
3TI1,1OB3,3TI1_renamed.pdb,1OB3_renamed.pdb,A,A,,,,,,,6.25e-130,288,370.0,62.847,,,,,,,
3TI1,3NIE,3TI1_renamed.pdb,3NIE_renamed.pdb,A,A,,,,,,,2.02e-48,350,166.0,32.857,,,,,,,
3TNE,3F9Q,3TNE_renamed.pdb,3F9Q_renamed.pdb,A,A,,,,,,,3.94e-23,334,97.8,27.545,,,,,,,
3TNE,1ME6,3TNE_renamed.pdb,1ME6_renamed.pdb,A,A,,,,,,,4.06e-23,331,97.8,28.399,,,,,,,
3TNE,1LEE,3TNE_renamed.pdb,1LEE_renamed.pdb,A,A,,,,,,,4.1e-23,334,97.8,27.545,,,,,,,
3TNE,1LF3,3TNE_renamed.pdb,1LF3_renamed.pdb,A,A,,,,,,,4.22e-23,331,97.8,28.399,,,,,,,
3TNE,5BWY,3TNE_renamed.pdb,5BWY_renamed.pdb,A,A,,,,,,,5.98e-23,331,97.8,28.399,,,,,,,
3TNE,3QRV,3TNE_renamed.pdb,3QRV_renamed.pdb,A,A,,,,,,,6.03e-23,337,97.4,27.003,,,,,,,
3TNE,1PFZ,3TNE_renamed.pdb,1PFZ_renamed.pdb,A,A,,,,,,,6.489999999999999e-23,331,97.8,28.399,,,,,,,
3TNE,2BJU,3TNE_renamed.pdb,2BJU_renamed.pdb,A,A,,,,,,,1.09e-22,331,97.8,28.399,,,,,,,
3ZBF,4RGJ,3ZBF_renamed.pdb,4RGJ_renamed.pdb,A,A,,,,,,,1.42e-17,228,82.8,28.509,,,,,,,
3ZBF,5DYK,3ZBF_renamed.pdb,5DYK_renamed.pdb,A,A,,,,,,,4.01e-10,297,60.5,24.242,,,,,,,
4ACD,1OB3,4ACD_renamed.pdb,1OB3_renamed.pdb,A,A,,,,,,,2.5899999999999997e-46,302,162.0,33.113,,,,,,,
4ACD,1V0O,4ACD_renamed.pdb,1V0O_renamed.pdb,A,A,,,,,,,4.4199999999999995e-46,302,161.0,32.781,,,,,,,
4ACD,1V0B,4ACD_renamed.pdb,1V0B_renamed.pdb,A,A,,,,,,,4.5599999999999996e-46,302,161.0,32.781,,,,,,,
4ACD,3NIE,4ACD_renamed.pdb,3NIE_renamed.pdb,A,A,,,,,,,1.08e-30,379,122.0,28.496,,,,,,,
4ALI,3AM3,4ALI_renamed.pdb,3AM3_renamed.pdb,A,A,,,,,,,3.31e-18,219,82.8,28.311,,,,,,,
4ALI,1VRW,4ALI_renamed.pdb,1VRW_renamed.pdb,A,A,,,,,,,4.76e-18,219,82.4,29.224,,,,,,,
4ALI,1UH5,4ALI_renamed.pdb,1UH5_renamed.pdb,A,A,,,,,,,4.76e-18,219,82.4,29.224,,,,,,,
4ALI,2OL4,4ALI_renamed.pdb,2OL4_renamed.pdb,A,A,,,,,,,5.61e-18,219,82.0,29.224,,,,,,,
4ALI,3AM5,4ALI_renamed.pdb,3AM5_renamed.pdb,A,A,,,,,,,1.88e-17,219,80.5,29.224,,,,,,,
4ALI,1NHG,4ALI_renamed.pdb,1NHG_renamed.pdb,A,A,,,,,,,3.17e-13,133,67.4,36.09,,,,,,,
4C2V,4RGJ,4C2V_renamed.pdb,4RGJ_renamed.pdb,A,A,,,,,,,2.84e-49,257,170.0,35.409,,,,,,,
4C2V,5DYK,4C2V_renamed.pdb,5DYK_renamed.pdb,A,A,,,,,,,1.3100000000000001e-43,293,158.0,31.741,,,,,,,
4C2V,1V0O,4C2V_renamed.pdb,1V0O_renamed.pdb,A,A,,,,,,,1.57e-35,290,129.0,31.724,,,,,,,
4C2V,1V0B,4C2V_renamed.pdb,1V0B_renamed.pdb,A,A,,,,,,,1.75e-35,290,128.0,31.724,,,,,,,
4C2V,1OB3,4C2V_renamed.pdb,1OB3_renamed.pdb,A,A,,,,,,,1.7800000000000002e-35,290,128.0,32.069,,,,,,,
4G4S,5FMG,4G4S_renamed.pdb,5FMG_renamed.pdb,E,E,,,,,,,3e-82,262,247.0,48.473,,,,,,,
4G4S,5FMG,4G4S_renamed.pdb,5FMG_renamed.pdb,E,C,,,,,,,4.49e-49,248,162.0,39.516,,,,,,,
4G4S,5FMG,4G4S_renamed.pdb,5FMG_renamed.pdb,E,D,,,,,,,1.24e-36,219,129.0,32.877,,,,,,,
4G4S,5FMG,4G4S_renamed.pdb,5FMG_renamed.pdb,F,E,,,,,,,2.38e-34,249,123.0,33.333,,,,,,,
4G4S,5FMG,4G4S_renamed.pdb,5FMG_renamed.pdb,F,C,,,,,,,1.34e-30,174,113.0,40.805,,,,,,,
