,Bit_score,Alignment_Length,Query_ID,Title,Alignment_Score,Subject_ID,E_value,Subject_Chain,target_name,malaria_name,target_id,malaria_id,resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations,pubchem_cid
10,298.0,321.0,1D7O_1|Chain, Enoyl-ACP reductase [Plasmodium falciparum],47.664,pdb|3AM5|A,4.78e-101,Chain A,1D7O,3AM5,1,A,1.9,1D7O,CRYSTAL STRUCTURE OF BRASSICA NAPUS ENOYL ACYL CARRIER PROTEIN REDUCTASE COMPLEXED WITH NAD AND TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P80030,,10610777.0,10.1006/jmbi.1999.3240,,11800738.0,"Roujeinikova A, Levy CW, Rowsell S, Sedelnikova S, Baker PJ, Minshull CA, Mistry A, Colls JG, Camble R, Stuitje AR, Slabas AR, Rafferty JB, Pauptit RA, Viner R, Rice DW. Crystallographic analysis of triclosan bound to enoyl reductase. J Mol Biol. 1999 Nov 26;294(2):527–35. doi: 10.1006/jmbi.1999.3240. PMID: 10610777.",5564
11,298.0,321.0,1D7O_1|Chain, enoyl-ACP reductase [Plasmodium falciparum],47.664,pdb|1UH5|A,6.21e-101,Chain A,1D7O,1UH5,1,A,1.9,1D7O,CRYSTAL STRUCTURE OF BRASSICA NAPUS ENOYL ACYL CARRIER PROTEIN REDUCTASE COMPLEXED WITH NAD AND TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P80030,,10610777.0,10.1006/jmbi.1999.3240,,11800738.0,"Roujeinikova A, Levy CW, Rowsell S, Sedelnikova S, Baker PJ, Minshull CA, Mistry A, Colls JG, Camble R, Stuitje AR, Slabas AR, Rafferty JB, Pauptit RA, Viner R, Rice DW. Crystallographic analysis of triclosan bound to enoyl reductase. J Mol Biol. 1999 Nov 26;294(2):527–35. doi: 10.1006/jmbi.1999.3240. PMID: 10610777.",5564
12,298.0,321.0,1D7O_1|Chain, Enoyl-acyl carrier reductase [Plasmodium falciparum],47.664,pdb|2OL4|A,6.69e-101,Chain A,1D7O,2OL4,1,A,1.9,1D7O,CRYSTAL STRUCTURE OF BRASSICA NAPUS ENOYL ACYL CARRIER PROTEIN REDUCTASE COMPLEXED WITH NAD AND TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P80030,,10610777.0,10.1006/jmbi.1999.3240,,11800738.0,"Roujeinikova A, Levy CW, Rowsell S, Sedelnikova S, Baker PJ, Minshull CA, Mistry A, Colls JG, Camble R, Stuitje AR, Slabas AR, Rafferty JB, Pauptit RA, Viner R, Rice DW. Crystallographic analysis of triclosan bound to enoyl reductase. J Mol Biol. 1999 Nov 26;294(2):527–35. doi: 10.1006/jmbi.1999.3240. PMID: 10610777.",5564
13,298.0,321.0,1D7O_1|Chain, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],47.664,pdb|1VRW|A,6.77e-101,Chain A,1D7O,1VRW,1,A,1.9,1D7O,CRYSTAL STRUCTURE OF BRASSICA NAPUS ENOYL ACYL CARRIER PROTEIN REDUCTASE COMPLEXED WITH NAD AND TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P80030,,10610777.0,10.1006/jmbi.1999.3240,,11800738.0,"Roujeinikova A, Levy CW, Rowsell S, Sedelnikova S, Baker PJ, Minshull CA, Mistry A, Colls JG, Camble R, Stuitje AR, Slabas AR, Rafferty JB, Pauptit RA, Viner R, Rice DW. Crystallographic analysis of triclosan bound to enoyl reductase. J Mol Biol. 1999 Nov 26;294(2):527–35. doi: 10.1006/jmbi.1999.3240. PMID: 10610777.",5564
14,263.0,225.0,1D7O_1|Chain, enoyl-acyl carrier reductase [Plasmodium falciparum],55.111,pdb|1NHG|A,2.14e-88,Chain A,1D7O,1NHG,1,A,1.9,1D7O,CRYSTAL STRUCTURE OF BRASSICA NAPUS ENOYL ACYL CARRIER PROTEIN REDUCTASE COMPLEXED WITH NAD AND TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P80030,,10610777.0,10.1006/jmbi.1999.3240,,11800738.0,"Roujeinikova A, Levy CW, Rowsell S, Sedelnikova S, Baker PJ, Minshull CA, Mistry A, Colls JG, Camble R, Stuitje AR, Slabas AR, Rafferty JB, Pauptit RA, Viner R, Rice DW. Crystallographic analysis of triclosan bound to enoyl reductase. J Mol Biol. 1999 Nov 26;294(2):527–35. doi: 10.1006/jmbi.1999.3240. PMID: 10610777.",5564
15,60.5,53.0,1D7O_1|Chain, enoyl-acyl carrier reductase [Plasmodium falciparum],54.717,pdb|1NHG|C,3.53e-12,Chain C,1D7O,1NHG,1,C,1.9,1D7O,CRYSTAL STRUCTURE OF BRASSICA NAPUS ENOYL ACYL CARRIER PROTEIN REDUCTASE COMPLEXED WITH NAD AND TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P80030,,10610777.0,10.1006/jmbi.1999.3240,,11800738.0,"Roujeinikova A, Levy CW, Rowsell S, Sedelnikova S, Baker PJ, Minshull CA, Mistry A, Colls JG, Camble R, Stuitje AR, Slabas AR, Rafferty JB, Pauptit RA, Viner R, Rice DW. Crystallographic analysis of triclosan bound to enoyl reductase. J Mol Biol. 1999 Nov 26;294(2):527–35. doi: 10.1006/jmbi.1999.3240. PMID: 10610777.",5564
16,87.0,237.0,1D8A_1|Chains, Enoyl-ACP reductase [Plasmodium falciparum],25.738,pdb|3AM3|A,6.04e-20,Chain A,1D8A,3AM3,1,A,2.2,1D8A,E. COLI ENOYL REDUCTASE/NAD+/TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10201369.0,10.1038/18803,,13170905.0,"Levy CW, Roujeinikova A, Sedelnikova S, Baker PJ, Stuitje AR, Slabas AR, Rice DW, Rafferty JB. Molecular basis of triclosan activity. Nature. 1999 Apr 01;398(6726):383–4. doi: 10.1038/18803. PMID: 10201369.",5564
17,85.5,237.0,1D8A_1|Chains, enoyl-ACP reductase [Plasmodium falciparum],25.316,pdb|1UH5|A,2.51e-19,Chain A,1D8A,1UH5,1,A,2.2,1D8A,E. COLI ENOYL REDUCTASE/NAD+/TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10201369.0,10.1038/18803,,13170905.0,"Levy CW, Roujeinikova A, Sedelnikova S, Baker PJ, Stuitje AR, Slabas AR, Rice DW, Rafferty JB. Molecular basis of triclosan activity. Nature. 1999 Apr 01;398(6726):383–4. doi: 10.1038/18803. PMID: 10201369.",5564
18,84.3,237.0,1D8A_1|Chains, Enoyl-acyl carrier reductase [Plasmodium falciparum],24.051,pdb|2OL4|A,7.8e-19,Chain A,1D8A,2OL4,1,A,2.2,1D8A,E. COLI ENOYL REDUCTASE/NAD+/TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10201369.0,10.1038/18803,,13170905.0,"Levy CW, Roujeinikova A, Sedelnikova S, Baker PJ, Stuitje AR, Slabas AR, Rice DW, Rafferty JB. Molecular basis of triclosan activity. Nature. 1999 Apr 01;398(6726):383–4. doi: 10.1038/18803. PMID: 10201369.",5564
19,84.0,237.0,1D8A_1|Chains, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],24.051,pdb|1VRW|A,7.96e-19,Chain A,1D8A,1VRW,1,A,2.2,1D8A,E. COLI ENOYL REDUCTASE/NAD+/TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10201369.0,10.1038/18803,,13170905.0,"Levy CW, Roujeinikova A, Sedelnikova S, Baker PJ, Stuitje AR, Slabas AR, Rice DW, Rafferty JB. Molecular basis of triclosan activity. Nature. 1999 Apr 01;398(6726):383–4. doi: 10.1038/18803. PMID: 10201369.",5564
20,83.2,237.0,1D8A_1|Chains, Enoyl-ACP reductase [Plasmodium falciparum],25.316,pdb|3AM5|A,1.37e-18,Chain A,1D8A,3AM5,1,A,2.2,1D8A,E. COLI ENOYL REDUCTASE/NAD+/TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10201369.0,10.1038/18803,,13170905.0,"Levy CW, Roujeinikova A, Sedelnikova S, Baker PJ, Stuitje AR, Slabas AR, Rice DW, Rafferty JB. Molecular basis of triclosan activity. Nature. 1999 Apr 01;398(6726):383–4. doi: 10.1038/18803. PMID: 10201369.",5564
21,69.7,141.0,1D8A_1|Chains, enoyl-acyl carrier reductase [Plasmodium falciparum],29.078,pdb|1NHG|A,2.81e-14,Chain A,1D8A,1NHG,1,A,2.2,1D8A,E. COLI ENOYL REDUCTASE/NAD+/TRICLOSAN COMPLEX,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,P0AEK6|P0AEK4,945870|93775413,10201369.0,10.1038/18803,,13170905.0,"Levy CW, Roujeinikova A, Sedelnikova S, Baker PJ, Stuitje AR, Slabas AR, Rice DW, Rafferty JB. Molecular basis of triclosan activity. Nature. 1999 Apr 01;398(6726):383–4. doi: 10.1038/18803. PMID: 10201369.",5564
22,562.0,280.0,1J3I_1|Chains, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],100.0,pdb|3QGT|A,0.0,Chain A,1J3I,3QGT,1,A,2.33,1J3I,"Wild-type Plasmodium falciparum dihydrofolate reductase-thymidylate synthase (PfDHFR-TS) complexed with WR99210, NADPH, and dUMP",X-RAY DIFFRACTION,NDP|WRA|UMP,,121750|65063|5884,P13922,,12704428.0,10.1038/nsb921,,255272.0,"Yuvaniyama J, Chitnumsub P, Kamchonwongpaisan S, Vanichtanankul J, Sirawaraporn W, Taylor P, Walkinshaw MD, Yuthavong Y. Insights into antifolate resistance from malarial DHFR-TS structures. Nature Structural & Molecular Biology. 2003 Apr 21;10(5):357–65. doi: 10.1038/nsb921.",121750
23,687.0,328.0,1J3I_2|Chains, Dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],100.0,pdb|3JSU|A,0.0,Chain A,1J3I,3JSU,2,A,2.33,1J3I,"Wild-type Plasmodium falciparum dihydrofolate reductase-thymidylate synthase (PfDHFR-TS) complexed with WR99210, NADPH, and dUMP",X-RAY DIFFRACTION,NDP|WRA|UMP,,121750|65063|5884,P13922,,12704428.0,10.1038/nsb921,,255272.0,"Yuvaniyama J, Chitnumsub P, Kamchonwongpaisan S, Vanichtanankul J, Sirawaraporn W, Taylor P, Walkinshaw MD, Yuthavong Y. Insights into antifolate resistance from malarial DHFR-TS structures. Nature Structural & Molecular Biology. 2003 Apr 21;10(5):357–65. doi: 10.1038/nsb921.",121750
24,687.0,328.0,1J3I_2|Chains, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],100.0,pdb|3UM5|A,0.0,Chain A,1J3I,3UM5,2,A,2.33,1J3I,"Wild-type Plasmodium falciparum dihydrofolate reductase-thymidylate synthase (PfDHFR-TS) complexed with WR99210, NADPH, and dUMP",X-RAY DIFFRACTION,NDP|WRA|UMP,,121750|65063|5884,P13922,,12704428.0,10.1038/nsb921,,255272.0,"Yuvaniyama J, Chitnumsub P, Kamchonwongpaisan S, Vanichtanankul J, Sirawaraporn W, Taylor P, Walkinshaw MD, Yuthavong Y. Insights into antifolate resistance from malarial DHFR-TS structures. Nature Structural & Molecular Biology. 2003 Apr 21;10(5):357–65. doi: 10.1038/nsb921.",121750
25,562.0,280.0,1J3K_1|Chains, Dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],100.0,pdb|3JSU|A,0.0,Chain A,1J3K,3JSU,1,A,2.1,1J3K,"Quadruple mutant (N51I+C59R+S108N+I164L) Plasmodium falciparum dihydrofolate reductase-thymidylate synthase (PfDHFR-TS) complexed with WR99210, NADPH, and dUMP",X-RAY DIFFRACTION,NDP|WRA|UMP,,121750|65063|5884,P13922,,12704428.0,10.1038/nsb921,,255272.0,"Yuvaniyama J, Chitnumsub P, Kamchonwongpaisan S, Vanichtanankul J, Sirawaraporn W, Taylor P, Walkinshaw MD, Yuthavong Y. Insights into antifolate resistance from malarial DHFR-TS structures. Nature Structural & Molecular Biology. 2003 Apr 21;10(5):357–65. doi: 10.1038/nsb921.",121750
26,687.0,328.0,1J3K_2|Chains, Dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],100.0,pdb|3JSU|A,0.0,Chain A,1J3K,3JSU,2,A,2.1,1J3K,"Quadruple mutant (N51I+C59R+S108N+I164L) Plasmodium falciparum dihydrofolate reductase-thymidylate synthase (PfDHFR-TS) complexed with WR99210, NADPH, and dUMP",X-RAY DIFFRACTION,NDP|WRA|UMP,,121750|65063|5884,P13922,,12704428.0,10.1038/nsb921,,255272.0,"Yuvaniyama J, Chitnumsub P, Kamchonwongpaisan S, Vanichtanankul J, Sirawaraporn W, Taylor P, Walkinshaw MD, Yuthavong Y. Insights into antifolate resistance from malarial DHFR-TS structures. Nature Structural & Molecular Biology. 2003 Apr 21;10(5):357–65. doi: 10.1038/nsb921.",121750
27,687.0,328.0,1J3K_2|Chains, Bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum],100.0,pdb|3UM5|A,0.0,Chain A,1J3K,3UM5,2,A,2.1,1J3K,"Quadruple mutant (N51I+C59R+S108N+I164L) Plasmodium falciparum dihydrofolate reductase-thymidylate synthase (PfDHFR-TS) complexed with WR99210, NADPH, and dUMP",X-RAY DIFFRACTION,NDP|WRA|UMP,,121750|65063|5884,P13922,,12704428.0,10.1038/nsb921,,255272.0,"Yuvaniyama J, Chitnumsub P, Kamchonwongpaisan S, Vanichtanankul J, Sirawaraporn W, Taylor P, Walkinshaw MD, Yuthavong Y. Insights into antifolate resistance from malarial DHFR-TS structures. Nature Structural & Molecular Biology. 2003 Apr 21;10(5):357–65. doi: 10.1038/nsb921.",121750
28,470.0,229.0,1NHG_1|Chains, enoyl-acyl carrier reductase [Plasmodium falciparum],100.0,pdb|1NHG|A,1.4899999999999999e-171,Chain A,1NHG,1NHG,1,A,2.43,1NHG,CRYSTAL STRUCTURE ANALYSIS OF PLASMODIUM FALCIPARUM ENOYL-ACYL-CARRIER-PROTEIN REDUCTASE WITH TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,,,11792710.0,10.1074/jbc.m112000200,,30747144.0,"Perozzo R, Kuo M, Sidhu ABS, Valiyaveettil JT, Bittman R, Jacobs WR, Fidock DA, Sacchettini JC. Structural Elucidation of the Specificity of the Antibacterial Agent Triclosan for Malarial Enoyl Acyl Carrier Protein Reductase. Journal of Biological Chemistry. 2002 Apr;277(15):13106–14. doi: 10.1074/jbc.m112000200.",5564
29,473.0,229.0,1NHG_1|Chains, Enoyl-acyl carrier reductase [Plasmodium falciparum],100.0,pdb|2OL4|A,7.24e-171,Chain A,1NHG,2OL4,1,A,2.43,1NHG,CRYSTAL STRUCTURE ANALYSIS OF PLASMODIUM FALCIPARUM ENOYL-ACYL-CARRIER-PROTEIN REDUCTASE WITH TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,,,11792710.0,10.1074/jbc.m112000200,,30747144.0,"Perozzo R, Kuo M, Sidhu ABS, Valiyaveettil JT, Bittman R, Jacobs WR, Fidock DA, Sacchettini JC. Structural Elucidation of the Specificity of the Antibacterial Agent Triclosan for Malarial Enoyl Acyl Carrier Protein Reductase. Journal of Biological Chemistry. 2002 Apr;277(15):13106–14. doi: 10.1074/jbc.m112000200.",5564
30,473.0,229.0,1NHG_1|Chains, Enoyl-ACP reductase [Plasmodium falciparum],100.0,pdb|3AM3|A,8.69e-171,Chain A,1NHG,3AM3,1,A,2.43,1NHG,CRYSTAL STRUCTURE ANALYSIS OF PLASMODIUM FALCIPARUM ENOYL-ACYL-CARRIER-PROTEIN REDUCTASE WITH TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,,,11792710.0,10.1074/jbc.m112000200,,30747144.0,"Perozzo R, Kuo M, Sidhu ABS, Valiyaveettil JT, Bittman R, Jacobs WR, Fidock DA, Sacchettini JC. Structural Elucidation of the Specificity of the Antibacterial Agent Triclosan for Malarial Enoyl Acyl Carrier Protein Reductase. Journal of Biological Chemistry. 2002 Apr;277(15):13106–14. doi: 10.1074/jbc.m112000200.",5564
31,472.0,229.0,1NHG_1|Chains, enoyl-ACP reductase [Plasmodium falciparum],100.0,pdb|1UH5|A,8.78e-171,Chain A,1NHG,1UH5,1,A,2.43,1NHG,CRYSTAL STRUCTURE ANALYSIS OF PLASMODIUM FALCIPARUM ENOYL-ACYL-CARRIER-PROTEIN REDUCTASE WITH TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,,,11792710.0,10.1074/jbc.m112000200,,30747144.0,"Perozzo R, Kuo M, Sidhu ABS, Valiyaveettil JT, Bittman R, Jacobs WR, Fidock DA, Sacchettini JC. Structural Elucidation of the Specificity of the Antibacterial Agent Triclosan for Malarial Enoyl Acyl Carrier Protein Reductase. Journal of Biological Chemistry. 2002 Apr;277(15):13106–14. doi: 10.1074/jbc.m112000200.",5564
32,473.0,229.0,1NHG_1|Chains, ENOYL-ACYL CARRIER REDUCTASE [Plasmodium falciparum],100.0,pdb|1VRW|A,9.16e-171,Chain A,1NHG,1VRW,1,A,2.43,1NHG,CRYSTAL STRUCTURE ANALYSIS OF PLASMODIUM FALCIPARUM ENOYL-ACYL-CARRIER-PROTEIN REDUCTASE WITH TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,,,11792710.0,10.1074/jbc.m112000200,,30747144.0,"Perozzo R, Kuo M, Sidhu ABS, Valiyaveettil JT, Bittman R, Jacobs WR, Fidock DA, Sacchettini JC. Structural Elucidation of the Specificity of the Antibacterial Agent Triclosan for Malarial Enoyl Acyl Carrier Protein Reductase. Journal of Biological Chemistry. 2002 Apr;277(15):13106–14. doi: 10.1074/jbc.m112000200.",5564
33,470.0,229.0,1NHG_1|Chains, Enoyl-ACP reductase [Plasmodium falciparum],99.563,pdb|3AM5|A,5.979999999999999e-170,Chain A,1NHG,3AM5,1,A,2.43,1NHG,CRYSTAL STRUCTURE ANALYSIS OF PLASMODIUM FALCIPARUM ENOYL-ACYL-CARRIER-PROTEIN REDUCTASE WITH TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,,,11792710.0,10.1074/jbc.m112000200,,30747144.0,"Perozzo R, Kuo M, Sidhu ABS, Valiyaveettil JT, Bittman R, Jacobs WR, Fidock DA, Sacchettini JC. Structural Elucidation of the Specificity of the Antibacterial Agent Triclosan for Malarial Enoyl Acyl Carrier Protein Reductase. Journal of Biological Chemistry. 2002 Apr;277(15):13106–14. doi: 10.1074/jbc.m112000200.",5564
34,122.0,60.0,1NHG_2|Chains, enoyl-acyl carrier reductase [Plasmodium falciparum],100.0,pdb|1NHG|C,2.52e-39,Chain C,1NHG,1NHG,2,C,2.43,1NHG,CRYSTAL STRUCTURE ANALYSIS OF PLASMODIUM FALCIPARUM ENOYL-ACYL-CARRIER-PROTEIN REDUCTASE WITH TRICLOSAN,X-RAY DIFFRACTION,TCL|NAD,,5892|5564,,,11792710.0,10.1074/jbc.m112000200,,30747144.0,"Perozzo R, Kuo M, Sidhu ABS, Valiyaveettil JT, Bittman R, Jacobs WR, Fidock DA, Sacchettini JC. Structural Elucidation of the Specificity of the Antibacterial Agent Triclosan for Malarial Enoyl Acyl Carrier Protein Reductase. Journal of Biological Chemistry. 2002 Apr;277(15):13106–14. doi: 10.1074/jbc.m112000200.",5564
