resolution,pdbid,title,expmethod,lignme,glytoucan,cids,protacxns,geneids,pmid,dois,pmcids,pclids,citations
2.63,9BH5,High-resolution C. elegans 80S ribosome structure - class 1,ELECTRON MICROSCOPY,SPD|3HE,"",6197|1102,P52819|Q9U2A8|O01868|Q966C6|Q95Y04|Q19869|P49041|O44480|O18650|P52821|O01692|Q9BL19|Q9U332|O45946|P91374|Q22054|P49180|Q20228|O02639|Q23312|P91128|P46769|P49196|Q95Y90|O02056|P47991|P48166|P50880|Q9NEN6|Q9XVP0|P48154|P48156|Q27389|P48158|P34334|P52814|P34662|P49181|Q19877|Q20647|Q9N3X2|Q09533|P37165|Q9TXP0|P51403|P49632|P0CG71|Q9XVF7|O01802|P49197|O17570|O45499|P51404|P91914|Q19162|P49405|P48152|P48150,173873|175070|177203|176975|174379|178012|24104384|172805|177365|172313|171692|173235|178342|176891|179998|174166|174699|172201|172901|171949|175786|176071|172074|176015|174695|175501|173260|172693|175584|177503|175455|175796|176146|179153|176097|176007|178188|177481|174311|175413|178538|177583|176718|180343|171602|176011|180044|173342|175901|171750|180535|174371|175879|176006,"","","","",""
2.7,7R81,Structure of the translating Neurospora crassa ribosome arrested by cycloheximide,ELECTRON MICROSCOPY,3HE|SPD|MG,"",6197|888|1102,P08978|Q7S6W5|Q871N9|O59953|Q9C2B9|Q7RVN2|Q7S7F1|Q9C2P2|Q7SC06|Q7SDU2|P27770|Q01291|Q8X034|Q01369|P59671|Q7RVI1|P21772|Q7RXY1|Q9HE25|P14799|Q7SBD5|O93798|O43105|Q7RVN0|Q7SFJ9|Q9HE74|Q7RV75,3877355|3876676|3872112|3876725|3877494|3881915|3876935|3877589|3879379|3880348|3877983|3872987|3873305|3876201|3879466|3879378|3872091|3872930|3877643|3872092|3879098|3880995|3873891|3881790|3880988|3872393|3873491,34815343,10.1073/pnas.2111862118,PMC8640747,29820313,"Shen L, Su Z, Yang K, Wu C, Becker T, Bell-Pedersen D, Zhang J, Sachs MS. Structure of the translating <i>Neurospora</i> ribosome arrested by cycloheximide. Proc. Natl. Acad. Sci. U.S.A. 2021 Nov 23;118(48). doi: 10.1073/pnas.2111862118."
2.88,8T30,"Hypomethylated yeast 80S bound with cycloheximide, unmodified U2921, mid rotated",ELECTRON MICROSCOPY,SPD|ZN|3HE,"",6197|32051|1102,P0C0V8|P05740|P0CX87|P0CX86|P17076|P26784|P0CX36|P0CX35|Q02753|Q08745|P02406|P04456|P35997|P05738|P0CX82|P0CX83|P0C2H8|P05744|P0CX33|P0CX34|P0CX31|P0CX32|P0CX85|P0CX84|P0CX51|P0CX52|P0CX48|P0CX47|P05743|P26786|P05749|P49166|P14126|P0CX39|P0CX40|P0CX50|P0CX49|P0CX55|P0CX56|P38011|P0CH08|P0CG74|P0CH09|P05759|P0CX42|P0CX41|Q12690|O13516|P0C2H6|P05748|P05737|P36105|P87262|P32905|P04650|P02407|P05756|P06367|P0CX29|P0CX30|P14120|Q02326|P0CX38|P0CX37|P0CX45|P0CX46|P07280|P0CX27|P0CX28|P0CX26|P0CX25|P05745,853931|853674|851344|856352|854673|853610|852489|854468|852775|853993|853700|852730|852379|851484|855960|850994|856805|851336|855174|851589|851058|854263|850750|850882|854229|852206|854029|852061|855143|854658|852191|851477|856024|856401|850716|852804|853864|856784|853128|853250|854984|851636|850397|853015|852853|854902|852479|856015|850590|854028|855560|856156|855232,"","","","",""
2.9,4U3U,Crystal structure of Cycloheximide bound to the yeast 80S ribosome,X-RAY DIFFRACTION,OHX|3HE|ZN|MG,"",6197|32051|888|49795048,P38701|P0C0V8|P0CX29|P0CX30|P10664|P14120|P04456|P0CX82|P0CX83|P39939|P49166|P05740|P05317|P05750|P05745|P0CX45|P0CX46|P26786|P39015|Q12690|P0CX27|P0CX28|P05756|P0CX38|P0CX37|P25443|P0CX48|P0CX47|P0CX39|P0CX40|P26784|P05738|P05749|P36105|Q08745|Q3E792|P41805|P0CX87|P0CX86|P02406|P41057|P0CX50|P0CX49|P0CX42|P0CX41|P17076|P0CX33|P0CX34|P04449|P0CX85|P0CX84|P0CH08|P0CG74|P0CH09|P05759|P06367|P02407|P0C2H8|P0CX36|P0CX35|P0CX26|P0CX25|P0C0W1|P32905|P38011|Q3E7X9|P0CX24|P0CX23|P14126|P87262|O13516|P05737|P33442|Q3E757|P48589|P04650|P05747|Q02753|P38061|P0CX31|P0CX32|P35997|P0CX51|P0CX52|P26783|P49167|P0C2H6|P05743|P07280|P26321|P05748|Q02326|Q01855|P0CX55|P0CX56|P05744,856371|853931|853015|852319|852853|853993|852379|856868|850882|853674|851052|855543|855232|850590|854263|850843|851477|855560|851636|852479|856015|852754|851589|852206|854673|852730|850750|853864|854468|852911|850764|851344|852775|851104|854029|852191|856352|850994|852852|851336|854658|850397|854984|851484|853610|856156|853249|850864|853128|855143|854338|855283|854229|856784|856024|852804|851162|852976|854551|853250|850592|852489|852185|856805|853700|855174|853587|851035|856401|851058|854028|855972|850716|854902|854117|852061|855960,25209664,10.1038/nature13737,"",2699140,"Garreau de Loubresse N, Prokhorova I, Holtkamp W, Rodnina MV, Yusupova G, Yusupov M. Structural basis for the inhibition of the eukaryotic ribosome. Nature. 2014 Sep 10;513(7519):517–22. doi: 10.1038/nature13737."
2.96,8UIK,In situ HHT and CHX treated human 80S ribosome with EBP1 (consensus map),ELECTRON MICROSCOPY,3HE|MG|HMT|ZN,"",6197|32051|888|285033,P46777|P62249|P08865|P32969|P46783|P39019|P62082|P62424|P49207|P46779|P23396|P62266|P61927|P26373|P61254|Q96L21|P62891|P62979|P60866|P25398|Q02543|P36578|P62917|P50914|P18124|P61313|P47914|P42677|P46782|Q9UQ80|P18077|P62753|P62913|P62241|P46776|P84098|P62854|P05388|P62890|P62888|P62861|P62987|P08708|P46781|P39023|P15880|P62269|P62829|P61513|P62244|Q9Y3U8|P62750|P62847|P62899|P62277|P62279|P62857|P62263|P83881|P18621|P63220|P61353|Q07020|P40429|P63173|P42766|P62701|P62945|Q02878|P62851|P63244|P46778|P61247|P62841|P62273|P62910|P62280,6125|6217|3921|6133|6204|6223|20115|6130|6164|6158|6188|6228|6167|6137|6154|140801|6170|6233|6224|6206|6142|6124|6132|9045|6129|6138|6159|6232|6193|5036|6165|6194|6135|6202|6157|6143|6231|6175|6156|2197|7311|6218|6203|6122|6187|6222|9349|6168|6210|25873|6147|6229|6160|6207|6234|6208|6173|6139|6227|6155|6141|23521|6169|11224|6191|6171|6128|6230|10399|6144|6189|6209|6235|6161|6205,"","","","",""
3,6Y2L,Structure of human ribosome in POST state,ELECTRON MICROSCOPY,3HE|ZN|MG,"",6197|32051|888,P39023|P62861|P62857|P42766|P62750|P62753|P62851|P62277|P62279|P83881|P61353|P62910|P62945|P61247|P62829|P40429|P62854|P63220|P62891|P63244|P62890|P62888|P47914|P62917|P63173|Q96L21|P62273|P50914|Q9Y3U8|P49207|P61254|P42677|P62241|P46781|P46782|P35268|P18621|P62244|P62847|Q02543|P62263|P62280|P62987|P39019|P46783|P62701|P61313|P26373|P62424|P62266|P83731|Q07020|P84098|Q02878|P62899|P23396|P61927|P62913|P61513|P18124|P15880|P60866|P62081|P18077|P46778|P62841|P62249|P08865|P32969|P08708|P46779|P62269|P36578|P46777|P46776,6122|2197|6234|11224|6147|6194|6230|6207|6173|6155|6161|6171|6189|9349|23521|6231|6227|6170|10399|6156|6159|6132|6169|140801|6235|9045|25873|6164|6154|6232|6202|6203|6193|6146|6139|6210|6229|6142|6208|6205|7311|6223|6204|6191|6138|6137|6130|6228|6152|6141|6143|6128|6160|6188|6167|6135|6168|6129|6187|6224|6201|6165|6144|6209|6217|3921|6133|6218|6158|6222|6124|6125|6157,32268098,10.1016/j.celrep.2020.03.037,"",28434851,"Bhaskar V, Graff-Meyer A, Schenk AD, Cavadini S, von Loeffelholz O, Natchiar SK, Artus-Revel CG, Hotz HR, Bretones G, Klaholz BP, Chao JA. Dynamics of uS19 C-Terminal Tail during the Translation Elongation Cycle in Human Ribosomes. Cell Rep. 2020 Apr 07;31(1):107473. doi: 10.1016/j.celrep.2020.03.037. PMID: 32268098."
3.13,8UTI,Eukaryotic 80S ribosome with Reh1 and A/P site tRNA,ELECTRON MICROSCOPY,3HE,"",6197,P0CX36|P0CX35|P0CX85|P0CX84|P38011|P02406|P04456|O13516|P0CX38|P0CX37|P0CX31|P0CX32|P0CX26|P0CX25|P36105|P32905|P41057|P05747|P0CX82|P0CX83|P26784|P87262|P26786|Q3E7X9|P05749|P0CX42|P0CX41|P0C0V8|P49166|P0CX55|P0CX56|P04650|P0CX87|P0CX86|Q12690|P26783|P02407|P0CX51|P0CX52|P0CX27|P0CX28|P48589|P0CX45|P0CX46|P0CH08|P0CG74|P0CH09|P05759|P05739|P38061|P05744|P0C0W1|P0CX24|P0CX23|P05740|P05756|P05743|P0C2H6|P0CX33|P0CX34|P39938|P49167|P06367|P0CX48|P0CX47|P35997|P0C0W9|P05737|P07280|P0CX50|P0CX49|P10664|P05745|P05738|P14120|Q08745|P0C2H8|P05748|P0CX29|P0CX30|Q02753,853610|851336|855143|852775|853993|856024|852479|856015|856805|856156|853864|853128|851104|850592|852379|854673|856784|854263|854338|850750|852191|853931|850882|852061|853250|851344|851477|853587|854984|855174|855560|854551|850590|854658|851169|852185|855960|853249|855283|853674|851636|851058|856401|850994|852686|851035|850397|851589|853700|856217|852804|854028|854029|852319|855232|852730|852853|854468|851484|850716|853015|852489,"","","","",""
3.22,8UT0,"Eukaryotic 80S ribosome with Reh1, eIF5A and A/P site tRNA",ELECTRON MICROSCOPY,3HE,"",6197,P0CX36|P0CX35|P0CX85|P0CX84|P38011|P02406|P04456|O13516|P0CX38|P0CX37|P0CX31|P0CX32|P0CX26|P0CX25|P36105|P32905|P41057|P05747|P0CX82|P0CX83|P26784|P87262|P26786|Q3E7X9|P05749|P0CX42|P0CX41|P0C0V8|P49166|P0CX55|P0CX56|P04650|P0CX87|P0CX86|Q12690|P26783|P02407|P0CX51|P0CX52|P0CX27|P0CX28|P48589|P0CX45|P0CX46|P0CH08|P0CG74|P0CH09|P05759|P05739|P38061|P05744|P0C0W1|P0CX24|P0CX23|P05740|P05756|P05743|P0C2H6|P0CX33|P0CX34|P39938|P49167|P06367|P0CX48|P0CX47|P0C0W9|P35997|P05737|P07280|P0CX50|P0CX49|P10664|P05745|P05738|P14120|Q08745|P0C2H8|P05748|P0CX29|P0CX30|Q02753,853610|851336|855143|852775|853993|856024|852479|856015|856805|856156|853864|853128|851104|850592|852379|854673|856784|854263|854338|850750|852191|853931|850882|852061|853250|851344|851477|853587|854984|855174|855560|854551|850590|854658|851169|852185|855960|853249|855283|853674|851636|851058|856401|850994|852686|851035|850397|851589|856217|853700|852804|854028|854029|852319|855232|852730|852853|854468|851484|850716|853015|852489,"","","","",""
3.4,8IPA,Wheat 80S ribosome stalled on AUG-Stop boron dependently with cycloheximide,ELECTRON MICROSCOPY,ZN|3HE|MG,"",6197|32051|888,Q8L805|P62125,"",38267667,10.1038/s41589-023-01513-0,"",36729336,2024; 20(5):605-614
3.4,8IPB,Wheat 80S ribosome pausing on AUG-Stop with cycloheximide,ELECTRON MICROSCOPY,ZN|3HE|MG,"",6197|32051|888,Q8L805|P62125,"",38267667,10.1038/s41589-023-01513-0,"",36729336,2024; 20(5):605-614
